id,first_name,second_name,web_name,team_code,element_type,now_cost,selected_by_percent,form,ict_index,ep_this,points_per_game,bps,influence,creativity,threat
1,David,Raya,Raya,3,1,55,25.3,6.5,105.2,7.2,5.8,420,85.6,12.3,7.1
2,Dean,Henderson,Henderson,10,1,45,8.2,4.2,72.3,4.5,3.9,210,52.1,8.4,11.8
3,Mark,Flekken,Flekken,8,1,40,2.1,3.5,58.2,3.8,3.2,145,38.4,6.2,13.6
4,Matz,Sels,Sels,19,1,45,5.4,5.1,82.1,5.2,4.3,285,62.3,10.1,9.7
5,William,Saliba,Saliba,3,2,60,35.2,7.2,115.3,6.8,5.5,525,92.1,18.4,4.8
6,Gabriel,Magalhaes,Gabriel,3,2,60,28.4,6.8,108.2,6.2,5.2,485,88.7,14.2,5.2
7,Virgil,Van Dijk,Van Dijk,14,2,62,22.1,5.8,98.4,5.5,4.8,425,82.3,11.8,4.3
8,Josko,Gvardiol,Gvardiol,17,2,60,18.3,5.2,92.1,5.1,4.5,385,75.2,12.1,4.8
9,Antonee,Robinson,Robinson,12,2,52,15.8,6.1,88.5,5.8,4.6,365,68.4,16.8,3.3
10,Trent,Alexander-Arnold,Alexander-Arnold,14,2,68,14.2,4.8,105.6,4.5,4.2,455,72.1,28.4,5.1
11,Lewis,Hall,Hall,19,2,48,8.5,4.5,68.2,4.2,3.8,215,55.2,9.8,3.2
12,Ola,Aina,Aina,5,2,48,6.2,4.8,72.1,4.8,4.1,245,58.4,10.2,3.5
13,Pedro,Porro,Porro,18,2,55,12.4,5.2,88.3,5.1,4.4,325,65.2,18.2,4.9
14,Marc,Cucurella,Cucurella,9,2,52,9.8,4.5,72.4,4.2,3.8,265,55.8,12.4,4.2
15,Mohamed,Salah,Salah,14,3,132,62.5,8.8,185.2,10.2,8.2,725,125.3,42.1,17.8
16,Cole,Palmer,Palmer,9,3,108,48.2,8.2,168.4,9.5,7.8,685,118.2,38.5,11.7
17,Bukayo,Saka,Saka,3,3,102,42.1,7.5,155.2,8.5,7.2,625,108.4,35.2,11.6
18,Bruno,Fernandes,Fernandes,16,3,82,25.4,6.2,128.3,6.8,5.8,485,92.1,28.4,7.8
19,Martin,Odegaard,Odegaard,3,3,82,18.5,5.8,115.2,5.5,5.2,425,82.3,26.1,6.8
20,Eberechi,Eze,Eze,11,3,68,12.3,5.5,98.4,5.8,5.0,365,75.2,18.2,5.0
21,Anthony,Gordon,Gordon,19,3,72,15.2,5.8,102.1,5.5,4.8,385,78.4,19.5,4.2
22,Luis,Diaz,Diaz,14,3,78,14.8,5.5,108.2,5.2,4.6,395,82.1,20.2,5.9
23,James,Maddison,Maddison,18,3,72,8.5,4.8,92.3,4.5,4.2,325,68.5,18.4,5.4
24,Morgan,Rogers,Rogers,2,3,55,6.2,5.2,82.1,5.0,4.5,285,58.2,15.1,8.8
25,Erling,Haaland,Haaland,17,4,145,72.5,8.5,195.2,10.5,8.5,785,128.5,22.4,44.3
26,Alexander,Isak,Isak,19,4,88,42.1,7.8,145.2,8.2,7.2,585,95.2,18.2,31.8
27,Ollie,Watkins,Watkins,2,4,82,28.5,6.5,128.3,7.2,6.2,485,85.4,22.1,20.8
28,Nicolas,Jackson,Jackson,9,4,78,18.2,5.8,115.2,6.5,5.5,425,78.2,15.4,21.6
29,Chris,Wood,Wood,5,4,62,15.4,6.2,98.5,6.8,5.8,365,68.4,12.1,18.0
30,Dominic,Solanke,Solanke,18,4,75,12.1,5.2,95.2,5.5,4.8,345,65.2,14.5,15.5
