player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
4,Sels,19,1,45,21,4.80,false,1,1,5.4,4.80
5,Saliba,3,2,60,21,6.20,false,1,1,35.2,6.20
6,Gabriel,3,2,60,21,5.80,false,1,1,28.4,5.80
7,Van Dijk,14,2,62,21,5.20,false,1,1,22.1,5.20
9,Robinson,12,2,52,21,4.50,false,1,1,15.8,4.50
12,Aina,5,2,48,21,4.20,false,1,1,6.2,4.20
16,Palmer,9,3,108,21,8.20,true,2,1,48.2,16.40
18,Fernandes,16,3,82,21,5.80,false,1,1,25.4,5.80
20,Eze,11,3,68,21,5.20,false,1,1,12.3,5.20
26,Isak,19,4,88,21,7.50,false,1,1,42.1,7.50
29,Wood,5,4,62,21,6.00,false,1,1,15.4,6.00
1,Raya,3,1,55,21,5.80,false,1,0,25.3,5.80
24,Rogers,2,3,55,21,5.50,false,1,0,6.2,5.50
21,Gordon,19,3,72,21,5.00,false,1,0,15.2,5.00
27,Watkins,2,4,82,21,6.20,false,1,0,28.5,6.20
