player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
1,Raya,3,1,55,0,5.65,false,1,1,25.3,5.65
5,Saliba,3,2,60,0,6.00,false,1,1,35.2,6.00
6,Gabriel,3,2,60,0,5.65,false,1,1,28.4,5.65
9,Robinson,12,2,52,0,4.65,false,1,1,15.8,4.65
15,Salah,14,3,132,0,9.35,true,2,1,62.5,18.70
18,Fernandes,16,3,82,0,5.90,false,1,1,25.4,5.90
24,Rogers,2,3,55,0,5.35,false,1,1,6.2,5.35
20,Eze,11,3,68,0,5.10,false,1,1,12.3,5.10
26,Isak,19,4,88,0,7.35,false,1,1,42.1,7.35
28,Jackson,9,4,78,0,5.90,false,1,1,18.2,5.90
29,Wood,5,4,62,0,5.90,false,1,1,15.4,5.90
3,Flekken,8,1,40,0,3.65,false,0,0,2.1,0.00
12,Aina,5,2,48,0,4.35,false,0,0,6.2,0.00
11,Hall,19,2,48,0,3.90,false,0,0,8.5,0.00
21,Gordon,19,3,72,0,5.10,false,0,0,15.2,0.00
